B-V;Vmag;log.Teff;logL;Age;Mass
 0.450; 7.320; 3.808; 3.42; 2.48e+07;  7.67
 0.450; 7.320; 3.808; 3.42; 3.82e+07;  6.75
 0.450; 7.320; 3.808; 3.42; 4.59e+07;  6.47
 0.710; 7.380; 3.767; 3.39; 2.47e+07;  7.69
 0.710; 7.380; 3.767; 3.39; 3.76e+07;  6.77
 0.710; 7.380; 3.767; 3.39; 4.66e+07;  6.44
-0.140; 9.230; 4.150; 3.02; 5.42e+07;  5.19
-0.150; 9.640; 4.167; 2.90; 4.64e+07;  5.14
-0.150; 9.640; 4.167; 2.90; 5.89e+07;  4.92
-0.150; 9.640; 4.167; 2.90; 6.21e+07;  4.85
-0.150;10.180; 4.167; 2.69; 4.25e+07;  4.62
-0.160;10.210; 4.183; 2.71; 3.32e+07;  4.76
-0.130;10.310; 4.133; 2.55; 5.96e+07;  4.24
-0.210;10.390; 4.250; 2.80;-6.29e+06;  5.44
-0.130;10.520; 4.133; 2.47; 5.51e+07;  4.07
-0.150;10.580; 4.167; 2.53; 2.96e+07;  4.31
-0.140;10.630; 4.150; 2.46; 3.84e+07;  4.12
-0.130;10.770; 4.133; 2.37; 4.49e+07;  3.89
-0.120;10.790; 4.117; 2.33; 5.91e+07;  3.76
-0.130;10.820; 4.133; 2.35; 4.22e+07;  3.86
-0.150;10.830; 4.167; 2.43; 1.25e+07;  4.15
-0.120;10.930; 4.117; 2.27; 5.13e+07;  3.66
-0.120;10.960; 4.117; 2.26; 4.94e+07;  3.64
-0.090;11.000; 4.075; 2.16; 9.36e+07;  3.36
-0.090;11.100; 4.075; 2.12; 8.92e+07;  3.30
-0.080;11.110; 4.062; 2.09; 1.05e+08;  3.23
-0.140;11.130; 4.150; 2.26;-5.77e+05;  3.81
-0.120;11.150; 4.117; 2.18; 3.39e+07;  3.53
-0.090;11.170; 4.075; 2.09; 8.58e+07;  3.25
-0.070;11.170; 4.050; 2.04; 1.19e+08;  3.13
-0.130;11.240; 4.133; 2.18; 4.13e+06;  3.61
-0.070;11.260; 4.050; 2.00; 1.16e+08;  3.07
-0.130;11.380; 4.133; 2.13;-1.27e+07;  3.53
-0.090;11.400; 4.075; 2.00; 6.70e+07;  3.12
-0.040;11.470; 4.020; 1.87; 1.58e+08;  2.84
-0.090;11.500; 4.075; 1.96; 5.69e+07;  3.06
-0.090;11.590; 4.075; 1.92; 4.28e+07;  3.02
-0.110;11.600; 4.100; 1.96;-3.37e+06;  3.17
-0.070;11.680; 4.050; 1.84; 7.94e+07;  2.84
-0.030;11.790; 4.010; 1.73; 1.60e+08;  2.63
-0.050;11.790; 4.030; 1.76; 1.10e+08;  2.71
-0.030;11.940; 4.010; 1.67; 1.43e+08;  2.56
-0.060;12.110; 4.040; 1.65; 1.12e+07;  2.61
